Location ID,Location,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
AL-001,Autauga County,58.58,100,4.85,53.73
AL-003,Baldwin County,64.13,75,1.86,62.27
AL-005,Barbour County,50.95,60,-1.57,52.52
AL-007,Bibb County,59.52,90,4.09,55.43
AL-009,Blount County,61.73,98,5.91,55.82
AL-011,Bullock County,54.42,81,2.15,52.27
AL-013,Butler County,57.86,80,1.93,55.93
AL-015,Calhoun County,60.14,95,6.55,53.59
AL-017,Chambers County,55.35,82,1.85,53.5
AL-019,Cherokee County,60.94,100,7.21,53.73
AL-021,Chilton County,59.16,97,4.76,54.4
AL-023,Choctaw County,62.07,98,4.93,57.14
AL-025,Clarke County,60.91,88,2.73,58.18
AL-027,Clay County,65.85,109,9.8,56.05
AL-029,Cleburne County,61.44,99,7.31,54.13
AL-031,Coffee County,50.03,40,-6.44,56.47
AL-033,Colbert County,57.7,87,3.97,53.73
AL-035,Conecuh County,55.38,51,-2.86,58.24
AL-037,Coosa County,65.88,113,11.05,54.83
AL-039,Covington County,52.73,39,-6.17,58.9
AL-041,Crenshaw County,55.99,74,0.4,55.59
AL-043,Cullman County,60.65,90,4.33,56.32
AL-045,Dale County,49.56,43,-5.11,54.67
AL-047,Dallas County,61.02,107,7.99,53.03
AL-049,DeKalb County,62.15,96,6.51,55.64
AL-051,Elmore County,61.55,107,7.9,53.65
AL-053,Escambia County,55.22,38,-5.49,60.71
AL-055,Etowah County,61.26,93,6.61,54.65
AL-057,Fayette County,59.56,83,3.03,56.53
AL-059,Franklin County,62.74,99,7.84,54.9
AL-061,Geneva County,52.98,49,-4.49,57.47
AL-063,Greene County,61.51,105,8.31,53.2
AL-065,Hale County,60.9,106,6.94,53.96
AL-067,Henry County,50.86,51,-2.73,53.59
AL-069,Houston County,52.07,53,-2.33,54.4
AL-071,Jackson County,62.57,100,7.73,54.84
AL-073,Jefferson County,62.89,106,7.11,55.78
AL-075,Lamar County,59.53,88,4.36,55.17
AL-077,Lauderdale County,55.15,73,0.97,54.18
AL-079,Lawrence County,58.54,90,4.94,53.6
AL-081,Lee County,55.92,88,3.45,52.47
AL-083,Limestone County,55.21,73,1.32,53.89
AL-085,Lowndes County,59.09,101,6.51,52.58
AL-087,Macon County,56.99,96,5.09,51.9
AL-089,Madison County,59.71,92,5.21,54.5
AL-091,Marengo County,61.96,107,7.55,54.41
AL-093,Marion County,62.71,94,6.9,55.81
AL-095,Marshall County,64.01,104,9.45,54.56
AL-097,Mobile County,66.18,81,3.3,62.88
AL-099,Monroe County,56.95,68,-0.54,57.49
AL-101,Montgomery County,60.07,110,7.73,52.34
AL-103,Morgan County,56.69,78,2.54,54.15
AL-105,Perry County,61.37,107,7.58,53.79
AL-107,Pickens County,60.34,99,6.71,53.63
AL-109,Pike County,51.56,53,-3.06,54.62
AL-111,Randolph County,58.68,86,3.78,54.9
AL-113,Russell County,52.02,75,1.99,50.03
AL-115,St. Clair County,64.08,108,8.73,55.35
AL-117,Shelby County,64.99,111,9.88,55.11
AL-119,Sumter County,58.97,95,4.6,54.37
AL-121,Talladega County,66.91,115,13,53.91
AL-123,Tallapoosa County,59.36,96,4.96,54.4
AL-125,Tuscaloosa County,59.52,90,3.85,55.67
AL-127,Walker County,64.47,101,7.67,56.8
AL-129,Washington County,66.98,99,6.97,60.01
AL-131,Wilcox County,60.04,98,5.55,54.49
AL-133,Winston County,66.29,106,9.64,56.65
AZ-001,Apache County,15.47,105,2.04,13.43
AZ-003,Cochise County,18.54,116,3.98,14.56
AZ-005,Coconino County,15.25,101,1.69,13.56
AZ-007,Gila County,20.94,85,0.26,20.68
AZ-009,Graham County,17.46,99,2.27,15.19
AZ-011,Greenlee County,19.96,103,3.21,16.75
AZ-012,La Paz County,6.55,86,0.59,5.96
AZ-013,Maricopa County,9.91,87,0.68,9.23
AZ-015,Mohave County,10.99,85,0.44,10.55
AZ-017,Navajo County,15.26,112,2.92,12.34
AZ-019,Pima County,13.66,94,1.21,12.45
AZ-021,Pinal County,13.21,89,0.72,12.49
AZ-023,Santa Cruz County,22.19,113,3.83,18.36
AZ-025,Yavapai County,17.07,89,0.86,16.21
AZ-027,Yuma County,3.91,45,-0.96,4.87
AR-001,Arkansas County,50.03,64,-1.03,51.06
AR-003,Ashley County,55.74,84,2.62,53.12
AR-005,Baxter County,51.01,105,7.59,43.42
AR-007,Benton County,50.47,93,5.19,45.28
AR-009,Boone County,46.92,90,3.25,43.67
AR-011,Bradley County,62.28,106,10.23,52.05
AR-013,Calhoun County,64.16,109,12.48,51.68
AR-015,Carroll County,47.75,90,3.1,44.65
AR-017,Chicot County,55.63,76,2.62,53.01
AR-019,Clark County,56.26,97,4.68,51.58
AR-021,Clay County,53.83,95,6.02,47.81
AR-023,Cleburne County,54.86,90,4.79,50.07
AR-025,Cleveland County,63.43,111,11.82,51.61
AR-027,Columbia County,57.41,97,6.27,51.14
AR-029,Conway County,50.08,76,1.02,49.06
AR-031,Craighead County,54.33,96,5.81,48.52
AR-033,Crawford County,49.91,78,2.25,47.66
AR-035,Crittenden County,57.57,97,7.55,50.02
AR-037,Cross County,54.36,85,3.98,50.38
AR-039,Dallas County,60.44,107,9.12,51.32
AR-041,Desha County,56.01,88,4.49,51.52
AR-043,Drew County,59.26,95,6.59,52.67
AR-045,Faulkner County,53.06,82,2.73,50.33
AR-047,Franklin County,49.92,76,1.83,48.09
AR-049,Fulton County,49.59,89,4.34,45.25
AR-051,Garland County,53.34,77,0.69,52.65
AR-053,Grant County,57.98,99,6.43,51.55
AR-055,Greene County,53.49,94,5.72,47.77
AR-057,Hempstead County,54.77,88,4.18,50.59
AR-059,Hot Spring County,52.95,76,0.58,52.37
AR-061,Howard County,55.13,85,3.16,51.97
AR-063,Independence County,54.24,98,5.84,48.4
AR-065,Izard County,51.62,96,5.87,45.75
AR-067,Jackson County,53.74,94,4.99,48.75
AR-069,Jefferson County,57.31,99,6.07,51.24
AR-071,Johnson County,56.45,98,7,49.45
AR-073,Lafayette County,56.08,97,6.2,49.88
AR-075,Lawrence County,56.84,111,9.44,47.4
AR-077,Lee County,58.71,103,7.54,51.17
AR-079,Lincoln County,60,102,7.71,52.29
AR-081,Little River County,51.41,81,2.73,48.68
AR-083,Logan County,47.32,68,0.45,46.87
AR-085,Lonoke County,52.48,86,2.37,50.11
AR-087,Madison County,50.31,84,2.68,47.63
AR-089,Marion County,46.99,91,4,42.99
AR-091,Miller County,52.94,85,3.99,48.95
AR-093,Mississippi County,53.16,87,4.59,48.57
AR-095,Monroe County,52.31,79,1.7,50.61
AR-097,Montgomery County,57.67,100,5.2,52.47
AR-099,Nevada County,56.28,97,5.19,51.09
AR-101,Newton County,47.33,64,-0.87,48.2
AR-103,Ouachita County,58.32,102,6.93,51.39
AR-105,Perry County,51.46,82,2.42,49.04
AR-107,Phillips County,52.51,70,0.73,51.78
AR-109,Pike County,57.17,90,4.24,52.93
AR-111,Poinsett County,53.49,87,4.35,49.14
AR-113,Polk County,57.41,90,4.62,52.79
AR-115,Pope County,50.73,79,1.33,49.4
AR-117,Prairie County,52.74,88,2.6,50.14
AR-119,Pulaski County,53.07,84,2.34,50.73
AR-121,Randolph County,53.53,96,6.33,47.2
AR-123,St. Francis County,56.87,95,5.94,50.93
AR-125,Saline County,56.59,92,4.39,52.2
AR-127,Scott County,52.6,85,4.22,48.38
AR-129,Searcy County,47.77,76,1.31,46.46
AR-131,Sebastian County,50.6,91,5.19,45.41
AR-133,Sevier County,51.22,75,0.63,50.59
AR-135,Sharp County,53.36,98,6.4,46.96
AR-137,Stone County,51.77,89,4.14,47.63
AR-139,Union County,61.37,104,9.11,52.26
AR-141,Van Buren County,51.96,74,1.38,50.58
AR-143,Washington County,49.32,82,2.29,47.03
AR-145,White County,54.08,92,3.82,50.26
AR-147,Woodruff County,52.06,80,2.1,49.96
AR-149,Yell County,50.13,80,1.83,48.3
CA-001,Alameda County,22.6,102,3.86,18.74
CA-003,Alpine County,44.96,104,8.77,36.19
CA-005,Amador County,42.22,97,7,35.22
CA-007,Butte County,38.49,42,-5.89,44.38
CA-009,Calaveras County,39.89,92,5.64,34.25
CA-011,Colusa County,21.31,58,-0.67,21.98
CA-013,Contra Costa County,21.9,97,3.43,18.47
CA-015,Del Norte County,64.06,26,-16.1,80.16
CA-017,El Dorado County,51.38,90,6.73,44.65
CA-019,Fresno County,24.09,106,4.49,19.6
CA-021,Glenn County,23.46,52,-2.4,25.86
CA-023,Humboldt County,50.69,29,-12.82,63.51
CA-025,Imperial County,2.76,55,-0.62,3.38
CA-027,Inyo County,6.83,84,0.58,6.25
CA-029,Kern County,8.9,72,-0.16,9.06
CA-031,Kings County,7.41,70,-0.2,7.61
CA-033,Lake County,40.3,55,-3.14,43.44
CA-035,Lassen County,17.03,45,-3.42,20.45
CA-037,Los Angeles County,16.08,82,0.54,15.54
CA-039,Madera County,23.62,77,0.51,23.11
CA-041,Marin County,33.35,57,-2.12,35.47
CA-043,Mariposa County,35.61,87,2.81,32.8
CA-045,Mendocino County,46.28,47,-5.36,51.64
CA-047,Merced County,13.44,100,2.18,11.26
CA-049,Modoc County,16.41,54,-1.7,18.11
CA-051,Mono County,21.61,118,5.95,15.66
CA-053,Monterey County,23.38,99,3.29,20.09
CA-055,Napa County,30.17,63,-0.9,31.07
CA-057,Nevada County,53.24,80,2.88,50.36
CA-059,Orange County,12.53,68,-1.01,13.54
CA-061,Placer County,49.88,85,4.1,45.78
CA-063,Plumas County,39.55,66,-1.72,41.27
CA-065,Riverside County,6.48,43,-2.02,8.5
CA-067,Sacramento County,19.88,75,1.22,18.66
CA-069,San Benito County,18.43,92,1.68,16.75
CA-071,San Bernardino County,5.58,49,-1.29,6.87
CA-073,San Diego County,14.53,82,0.24,14.29
CA-075,San Francisco County,27.56,88,3.29,24.27
CA-077,San Joaquin County,17.03,105,2.99,14.04
CA-079,San Luis Obispo County,20.47,104,3.33,17.14
CA-081,San Mateo County,31.64,89,3,28.64
CA-083,Santa Barbara County,22.05,99,3.28,18.77
CA-085,Santa Clara County,28.33,105,5.21,23.12
CA-087,Santa Cruz County,39.43,99,6.39,33.04
CA-089,Shasta County,33.94,31,-7.98,41.92
CA-091,Sierra County,46.52,76,0.72,45.8
CA-093,Siskiyou County,29.5,23,-9.37,38.87
CA-095,Solano County,21.24,76,1.48,19.76
CA-097,Sonoma County,39.7,58,-2.33,42.03
CA-099,Stanislaus County,16.55,104,2.92,13.63
CA-101,Sutter County,17.67,50,-1.28,18.95
CA-103,Tehama County,30.96,39,-5.56,36.52
CA-105,Trinity County,46,30,-11.52,57.52
CA-107,Tulare County,23.29,86,1.45,21.84
CA-109,Tuolumne County,46.95,93,6.09,40.86
CA-111,Ventura County,22,91,1.65,20.35
CA-113,Yolo County,21.1,77,1.12,19.98
CA-115,Yuba County,34.74,53,-2.94,37.68
CO-001,Adams County,12.84,30,-2.32,15.16
CO-003,Alamosa County,12.99,109,2.61,10.38
CO-005,Arapahoe County,13.08,25,-2.82,15.9
CO-007,Archuleta County,24.69,86,1.34,23.35
CO-009,Baca County,11.87,21,-4.1,15.97
CO-011,Bent County,13.31,56,-0.59,13.9
CO-013,Boulder County,20.14,71,0.05,20.09
CO-014,Broomfield County,14.17,56,-0.57,14.74
CO-015,Chaffee County,18.55,88,0.96,17.59
CO-017,Cheyenne County,13.25,33,-2.14,15.39
CO-019,Clear Creek County,27.49,85,1.47,26.02
CO-021,Conejos County,20.19,103,2.97,17.22
CO-023,Costilla County,19.89,99,2.28,17.61
CO-025,Crowley County,11.21,57,-0.8,12.01
CO-027,Custer County,20.22,69,-0.27,20.49
CO-029,Delta County,18.55,78,0.91,17.64
CO-031,Denver County,13.98,54,-1.04,15.02
CO-033,Dolores County,23.07,73,-0.24,23.31
CO-035,Douglas County,15.23,26,-3.01,18.24
CO-037,Eagle County,23.91,71,-0.1,24.01
CO-039,Elbert County,12.68,14,-3.89,16.57
CO-041,El Paso County,12.9,25,-3.13,16.03
CO-043,Fremont County,12.07,29,-2.22,14.29
CO-045,Garfield County,25.38,105,2.91,22.47
CO-047,Gilpin County,24.01,82,1.13,22.88
CO-049,Grand County,23.63,86,1.27,22.36
CO-051,Gunnison County,23.74,69,0.53,23.21
CO-053,Hinsdale County,30.62,71,-0.22,30.84
CO-055,Huerfano County,19.32,88,1.41,17.91
CO-057,Jackson County,24.91,87,1.8,23.11
CO-059,Jefferson County,17.68,59,-0.51,18.19
CO-061,Kiowa County,12.71,41,-1.54,14.25
CO-063,Kit Carson County,13.44,23,-3.4,16.84
CO-065,Lake County,26.12,89,1.92,24.2
CO-067,La Plata County,23.87,80,0.52,23.35
CO-069,Larimer County,19.15,54,-0.84,19.99
CO-071,Las Animas County,14.47,43,-1.82,16.29
CO-073,Lincoln County,11.46,26,-2.82,14.28
CO-075,Logan County,11.37,12,-5.27,16.64
CO-077,Mesa County,18.42,95,1.56,16.86
CO-079,Mineral County,30.58,76,0.07,30.51
CO-081,Moffat County,17.3,110,2.47,14.83
CO-083,Montezuma County,17.6,80,0.44,17.16
CO-085,Montrose County,16.33,82,0.84,15.49
CO-087,Morgan County,11.35,23,-3.17,14.52
CO-089,Otero County,12.46,54,-0.96,13.42
CO-091,Ouray County,21.6,63,-0.71,22.31
CO-093,Park County,18.17,81,0.81,17.36
CO-095,Phillips County,11.56,5,-6.39,17.95
CO-097,Pitkin County,29.78,73,0.67,29.11
CO-099,Prowers County,12.65,29,-2.52,15.17
CO-101,Pueblo County,12.09,43,-1.49,13.58
CO-103,Rio Blanco County,22.16,112,3.34,18.82
CO-105,Rio Grande County,16.18,94,1.6,14.58
CO-107,Routt County,28.88,105,3.84,25.04
CO-109,Saguache County,17.57,84,0.96,16.61
CO-111,San Juan County,40.53,61,-1.14,41.67
