Location ID,Location,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
AL-001,Autauga County,65.7,119,1.8,63.9
AL-003,Baldwin County,68.8,125,2,66.8
AL-005,Barbour County,66,107,1.2,64.8
AL-007,Bibb County,64.1,109,1.4,62.7
AL-009,Blount County,62.8,121,2.2,60.6
AL-011,Bullock County,65.5,108,1.4,64.1
AL-013,Butler County,65.7,100,1.1,64.6
AL-015,Calhoun County,63.1,120,2.1,61
AL-017,Chambers County,62.9,108,1.4,61.5
AL-019,Cherokee County,62.3,113,1.7,60.6
AL-021,Chilton County,64.5,119,1.8,62.7
AL-023,Choctaw County,66.2,115,1.7,64.5
AL-025,Clarke County,66.3,110,1.5,64.8
AL-027,Clay County,62.4,118,1.7,60.7
AL-029,Cleburne County,62.2,122,2.3,59.9
AL-031,Coffee County,66.9,113,1.5,65.4
AL-033,Colbert County,61.9,120,1.9,60
AL-035,Conecuh County,66.4,97,1,65.4
AL-037,Coosa County,63.9,115,1.6,62.3
AL-039,Covington County,67,110,1.5,65.5
AL-041,Crenshaw County,65.8,106,1.4,64.4
AL-043,Cullman County,62.4,121,2.1,60.3
AL-045,Dale County,67.1,113,1.5,65.6
AL-047,Dallas County,65.9,114,1.5,64.4
AL-049,DeKalb County,60.5,105,1.2,59.3
AL-051,Elmore County,65.2,109,1.5,63.7
AL-053,Escambia County,67.3,110,1.3,66
AL-055,Etowah County,62.8,116,1.9,60.9
AL-057,Fayette County,63.4,111,1.5,61.9
AL-059,Franklin County,62,121,2,60
AL-061,Geneva County,67.5,111,1.4,66.1
AL-063,Greene County,64.8,100,0.9,63.9
AL-065,Hale County,64.5,95,0.8,63.7
AL-067,Henry County,67.1,112,1.4,65.7
AL-069,Houston County,67.7,106,1.2,66.5
AL-071,Jackson County,60.7,105,1.3,59.4
AL-073,Jefferson County,63.5,115,1.7,61.8
AL-075,Lamar County,64,118,1.9,62.1
AL-077,Lauderdale County,61,112,1.5,59.5
AL-079,Lawrence County,61.3,108,1.2,60.1
AL-081,Lee County,63.8,92,0.8,63
AL-083,Limestone County,60.9,96,1.1,59.8
AL-085,Lowndes County,66.2,114,1.6,64.6
AL-087,Macon County,65,98,1,64
AL-089,Madison County,61.4,109,1.5,59.9
AL-091,Marengo County,65.4,102,1.1,64.3
AL-093,Marion County,62.6,120,1.8,60.8
AL-095,Marshall County,62.1,116,1.8,60.3
AL-097,Mobile County,68.5,124,2.1,66.4
AL-099,Monroe County,66.4,104,1.3,65.1
AL-101,Montgomery County,66.1,112,1.6,64.5
AL-103,Morgan County,61.9,113,1.7,60.2
AL-105,Perry County,64.7,104,1.1,63.6
AL-107,Pickens County,64.7,114,1.7,63
AL-109,Pike County,66.1,112,1.5,64.6
AL-111,Randolph County,62.5,120,2,60.5
AL-113,Russell County,64.9,88,0.7,64.2
AL-115,St. Clair County,62.9,114,1.7,61.2
AL-117,Shelby County,63.7,115,1.7,62
AL-119,Sumter County,65.2,104,1.2,64
AL-121,Talladega County,63.4,117,1.6,61.8
AL-123,Tallapoosa County,63.3,107,1.2,62.1
AL-125,Tuscaloosa County,64.2,107,1.1,63.1
AL-127,Walker County,63,113,1.4,61.6
AL-129,Washington County,67,115,1.6,65.4
AL-131,Wilcox County,66.1,109,1.4,64.7
AL-133,Winston County,61.6,111,1.3,60.3
AZ-001,Apache County,50.9,104,1.2,49.7
AZ-003,Cochise County,61,87,0.7,60.3
AZ-005,Coconino County,53.4,109,1.7,51.7
AZ-007,Gila County,60.4,108,1.9,58.5
AZ-009,Graham County,61.6,106,1.3,60.3
AZ-011,Greenlee County,56.9,104,1.2,55.7
AZ-012,La Paz County,72.2,109,1.9,70.3
AZ-013,Maricopa County,71,106,1.9,69.1
AZ-015,Mohave County,63.2,109,1.8,61.4
AZ-017,Navajo County,52.5,107,1.3,51.2
AZ-019,Pima County,68,104,1.5,66.5
AZ-021,Pinal County,69.3,102,1.6,67.7
AZ-023,Santa Cruz County,60.3,79,0.4,59.9
AZ-025,Yavapai County,60.1,109,1.9,58.2
AZ-027,Yuma County,73.4,119,2.5,70.9
AR-001,Arkansas County,63.7,116,1.5,62.2
AR-003,Ashley County,65.1,120,1.9,63.2
AR-005,Baxter County,58.7,113,1.6,57.1
AR-007,Benton County,58.7,107,1.4,57.3
AR-009,Boone County,58.5,118,1.7,56.8
AR-011,Bradley County,64.2,114,1.5,62.7
AR-013,Calhoun County,63.8,107,1.1,62.7
AR-015,Carroll County,58.1,104,1.2,56.9
AR-017,Chicot County,65.2,118,1.7,63.5
AR-019,Clark County,63,98,0.9,62.1
AR-021,Clay County,59.9,103,1.2,58.7
AR-023,Cleburne County,60.4,112,1.6,58.8
AR-025,Cleveland County,63.3,102,1,62.3
AR-027,Columbia County,64.4,108,1.1,63.3
